Wire Code,Length (cm) L1,f_max (nm) L1,Length (cm) L2,f_max (nm) L2,Radius (um),Bulk Resistivity (Ohm*m),TCR (1/C),T_amb,Trace Width (um),D (cm),Emission Exponent (n),Specular Scattering Fraction,Electron Mean Free Path (nm),Grain Boundary Reflection Constant L1,Grain Boundary Reflection Constant L2,Crystaline Size (nm) L1,Crystaline Size (nm) L2
A,5,"1,000.00",0,0,250,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.3,0,300,0
B,1.5,500,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0,200,0
C,2.5,500,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0,200,0
D,43,"3,000.00",0,0,300,2.44E-08,0.0034,25 C,324.2123619,67,2,0.1,30,0.25,0,320,0
E,4,"1,220.00",0,0,55,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.3,0,310,0
F,40,"2,944.50",0,0,250,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.25,0,320,0
G,42,"2,000.00",0,0,250,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.25,0,320,0
H,4,500,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0,200,0
I,8,"1,220.00",0,0,55,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.3,0,310,0
J,6.5,500,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0,200,0
K,5,1220,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.3,0,310,0
L,11,"1,220.00",0,0,55,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.3,0,310,0
M,13,"1,220.00",0,0,55,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.3,0,310,0
N,43,520.00,0,0,300,2.44E-08,0.0034,25 C,324.2123619,67,2,0.1,30,0.35,0,210,0
O,43,545.00,0,0,300,2.44E-08,0.0034,25 C,324.2123619,67,2,0.1,30,0.35,0,215,0
P,4,220.00,0,0,55,2.44E-08,0.0034,25 C,270.1769682,67,2,0.1,30,0.35,0,170,0
Q,5,220.00,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0,170,0
R,8,220.00,0,0,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0,170,0
S,21,220.00,21,1220,55,2.44E-08,0.0034,25 C,59.43893301,67,2,0.1,30,0.35,0.3,170,310
T,43,70.00,0,0,300,2.44E-08,0.0034,25 C,324.2123619,67,2,0.1,30,0.35,0,70,0
